Per Capita GDP at current prices in US Dollars (all countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Chad,97,104,106,114,130,184,169,168,196,174,175,201,184,192,202,194,232,255,288,264,308,296,299,252,198,235,254,234,258,216,189,224,251,331,517,664,715,779,931,812,823,908,894,905,942,713
Chile,"1,000","1,175","1,246","1,746","1,664",762,"1,024","1,368","1,553","2,060","2,700","3,191","2,246","1,826","1,783","1,548","1,638","1,882","2,160","2,423","2,624","2,951","3,510","3,670","4,139","5,225","5,416","5,839","5,523","5,014","5,101","4,594","4,453","4,841","6,242","7,645","9,501","10,514","10,791","10,217","12,785","14,582","15,253","15,765","14,566","13,416"
China,111,117,129,154,157,175,166,182,227,272,312,293,285,302,306,297,283,302,370,406,345,355,417,518,466,600,700,774,823,869,957,"1,052","1,150","1,294","1,514","1,768","2,114","2,706","3,471","3,840","4,524","5,579","6,323","7,072","7,693","8,109"
"China, Hong Kong SAR",963,"1,114","1,404","1,936","2,212","2,307","2,870","3,393","3,826","4,569","5,711","6,028","6,176","5,652","6,263","6,593","7,486","9,097","10,578","12,022","13,277","15,188","17,630","20,145","22,453","23,542","25,484","27,663","25,746","24,782","25,307","24,779","24,268","23,559","24,716","26,536","28,229","30,762","31,732","30,801","32,693","35,279","36,980","38,479","40,298","42,431"
"China, Macao SAR",664,786,962,"1,320","1,533","1,791","1,799","2,322","3,054","3,469","4,095","4,220","4,333","4,129","4,556","4,553","4,907","6,016","6,755","7,700","8,954","10,109","12,915","14,611","15,993","17,558","17,577","17,502","16,099","15,256","15,560","15,548","16,486","18,181","23,084","25,830","30,829","37,200","41,235","41,188","52,604","67,150","77,145","90,747","96,075","78,586"
Colombia,462,489,531,614,721,748,856,"1,062","1,240","1,457","1,702","1,813","1,897","1,844","1,782","1,590","1,560","1,590","1,681","1,662","1,661","1,669","1,755","1,995","2,588","2,946","3,044","3,291","2,994","2,584","2,472","2,396","2,356","2,245","2,740","3,386","3,709","4,674","5,434","5,148","6,251","7,228","7,885","8,031","7,918","6,056"
Comoros,163,177,204,267,294,443,422,450,561,721,833,746,679,687,644,666,918,"1,077","1,104","1,026","1,222","1,195","1,251","1,204",825,"1,001",968,867,857,863,765,806,882,"1,108","1,253","1,264","1,317","1,464","1,611","1,478","1,425","1,516","1,491","1,578","1,593","1,369"
Congo,196,218,254,328,384,439,442,428,517,683,947,"1,074","1,131","1,066","1,083","1,037",863,"1,043",978,"1,043","1,173","1,112","1,166","1,040",670,778,909,808,652,776,"1,036",878,927,"1,049","1,362","1,738","2,145","2,001","2,655","2,364","3,020","3,542","3,186","3,191","3,125","1,838"
Cook Islands,478,476,498,652,780,781,759,911,"1,095","1,286","1,448","1,507","1,508","1,482","1,529","1,592","2,052","2,617","3,344","3,386","3,777","4,091","4,186","4,630","5,452","5,786","5,854","5,427","4,780","5,149","5,140","5,346","6,074","8,174","9,358","9,411","9,557","11,478","11,661","10,653","12,579","14,029","14,725","14,623","15,323","14,119"
Costa Rica,635,676,758,912,970,"1,114","1,336","1,658","1,852","2,066","2,409","1,274","1,232","1,447","1,639","1,711","1,873","1,880","1,866","2,062","2,197","2,114","2,467","2,704","2,889","3,128","3,087","3,266","3,509","3,848","3,808","3,982","4,062","4,168","4,425","4,697","5,245","6,121","6,911","6,809","8,199","9,187","9,985","10,547","10,437","11,015"
